+ACI-Feature+ACI-	+ACI-Value+ACI-
+ACI-ancurl.inwap+ACI-	0
+ACI-ancurl.adcount+ACI-	0
+ACI-ancurl.martnet.com+ACI-	0
+ACI-ancurl.thejeep.com+ACI-	0
+ACI-ancurl.search+ACI-	0
+ACI-ancurl.shtml+ACI-	0
+ACI-ancurl.www.yahoo+ACI-	0
+ACI-ancurl.desc.4+ACI-	0
+ACI-ancurl.cats+ACI-	0
+ACI-ancurl.pitcairn+ACI-	0
+ACI-ancurl.www.access.ch+ACI-	0
+ACI-ancurl.runofsite.any+ACI-	0
+ACI-ancurl.dejay+ACI-	0
+ACI-ancurl.gallery+ACI-	0
+ACI-ancurl.bishop+ACI-	0
+ACI-ancurl.features.forums+ACI-	0
+ACI-ancurl.area+ACI-	0
+ACI-ancurl.www.mcs.csuhayward.edu+ACI-	0
+ACI-ancurl.bin+ACI-	0
+ACI-ancurl.bds+ACI-	0
+ACI-ancurl.www.wco.com+ACI-	0
+ACI-ancurl.www.toyotaofroswell.com+ACI-	0
+ACI-ancurl.www.copymat.com+ACI-	0
+ACI-ancurl.go2net.com+ACI-	0
+ACI-ancurl.delv.dir+ACI-	0
+ACI-ancurl.slake.com+ACI-	0
+ACI-ancurl.www.readersndex+ACI-	0
+ACI-ancurl.www.theinternetadvantage.com+ACI-	0
+ACI-ancurl.edition.cnet+ACI-	0
+ACI-ancurl.tkaine+ACI-	0
+ACI-ancurl.catring+ACI-	0
+ACI-ancurl.asp+ACI-	0
+ACI-ancurl.art+ACI-	0
+ACI-ancurl.relocate+ACI-	0
+ACI-ancurl.468x60.runofsite+ACI-	0
+ACI-ancurl.valley.2647+ACI-	0
+ACI-ancurl.any+ACI-	0
+ACI-ancurl.ans+ACI-	0
+ACI-ancurl.corridor+ACI-	0
+ACI-ancurl.amp+ACI-	0
+ACI-ancurl.top+ACI-	0
+ACI-ancurl.pacificrim.net+ACI-	0
+ACI-ancurl.image+ACI-	0
+ACI-ancurl.heartland.valley+ACI-	0
+ACI-ancurl.tii+ACI-	0
+ACI-ancurl.123greetings.com+ACI-	0
+ACI-ancurl.ads+ACI-	0
+ACI-ancurl.www.yahoo.com+ACI-	0
+ACI-ancurl.cuteftp+ACI-	0
+ACI-ancurl.acc+ACI-	0
+ACI-ancurl.bin.search+ACI-	0
+ACI-ancurl.www.shareware.com+ACI-	0
+ACI-ancurl.dir.qual+ACI-	0
+ACI-ancurl.globec.com.au+ACI-	0
+ACI-ancurl.www.news.observer.com+ACI-	0
+ACI-ancurl.index.htm+ACI-	0
+ACI-ancurl.xmission.com+ACI-	0
+ACI-ancurl.ukie.s+ACI-	0
+ACI-ancurl.629.redirect+ACI-	0
+ACI-ancurl.pointe+ACI-	0
+ACI-ancurl.www.ems.psu.edu+ACI-	0
+ACI-ancurl.http.ads+ACI-	0
+ACI-ancurl.members.aol.com+ACI-	0
+ACI-ancurl.www.xmission.com+ACI-	0
+ACI-ancurl.yahoo.co.uk+ACI-	0
+ACI-ancurl.ring.kat001+ACI-	0
+ACI-ancurl.msn.com.1+ACI-	0
+ACI-ancurl.groupid+ACI-	0
+ACI-ancurl.geoguide.geoguide+ACI-	0
+ACI-ancurl.sanjosesabercats.com+ACI-	0
+ACI-ancurl.excite+ACI-	0
+ACI-ancurl.april.fools+ACI-	0
+ACI-ancurl.slagen+ACI-	0
+ACI-ancurl.link+ACI-	0
+ACI-ancurl.tour.member+ACI-	0
+ACI-ancurl.uk+ACI-	0
+ACI-ancurl.people+ACI-	0
+ACI-ancurl.sw+ACI-	0
+ACI-ancurl.sv+ACI-	0
+ACI-ancurl.st+ACI-	0
+ACI-ancurl.sj+ACI-	0
+ACI-ancurl.pl+ACI-	0
+ACI-ancurl.pk+ACI-	0
+ACI-ancurl.www.bossintl.com+ACI-	0
+ACI-ancurl.ng+ACI-	0
+ACI-ancurl.ne+ACI-	0
+ACI-ancurl.mc+ACI-	0
+ACI-ancurl.lg+ACI-	0
+ACI-ancurl.spacedesc+ACI-	0
+ACI-ancurl.it+ACI-	0
+ACI-ancurl.ie+ACI-	0
+ACI-ancurl.id+ACI-	0
+ACI-ancurl.go+ACI-	0
+ACI-ancurl.gg+ACI-	0
+ACI-ancurl.homestead+ACI-	0
+ACI-ancurl.bin.nph+ACI-	0
+ACI-ancurl.peace+ACI-	0
+ACI-ancurl.t.s+ACI-	0
+ACI-ancurl.de+ACI-	0
+ACI-ancurl.dreamn.com+ACI-	0
+ACI-ancurl.plx.http+ACI-	0
+ACI-ancurl.ad+ACI-	0
+ACI-ancurl.rnd+ACI-	0
+ACI-ancurl.kandinsky.p+ACI-	0
+ACI-ancurl.linkpg+ACI-	0
+ACI-ancurl.webring+ACI-	0
+ACI-ancurl.ref+ACI-	0
+ACI-ancurl.www.2meta.com+ACI-	0
+ACI-ancurl.ran+ACI-	0
+ACI-ancurl.www.Lpage.com+ACI-	0
+ACI-ancurl.2fwww+ACI-	0
+ACI-ancurl.ring.claw+ACI-	0
+ACI-ancurl.midnight+ACI-	0
+ACI-ancurl.hotwired.com+ACI-	0
+ACI-ancurl.how.htm+ACI-	0
+ACI-ancurl.tm.fr+ACI-	0
+ACI-ancurl.ora.com+ACI-	0
+ACI-ancurl.toyotaofroswell.com+ACI-	0
+ACI-ancurl.heartland+ACI-	0
+ACI-ancurl.s.b+ACI-	0
+ACI-ancurl.mcet.edu+ACI-	0
+ACI-ancurl.clickthru+ACI-	0
+ACI-ancurl.enchantedforest+ACI-	0
+ACI-ancurl.clawring+ACI-	0
+ACI-ancurl.news.observer.com+ACI-	0
+ACI-ancurl.plains+ACI-	0
+ACI-ancurl.entry+ACI-	0
+ACI-ancurl.acc.clickthru+ACI-	0
+ACI-ancurl.3a+ACI-	0
+ACI-ancurl.2f+ACI-	0
+ACI-ancurl.dll.type+ACI-	0
+ACI-ancurl.soho+ACI-	0
+ACI-ancurl.features+ACI-	0
+ACI-ancurl.adclick.id+ACI-	0
+ACI-ancurl.preferences.com+ACI-	0
+ACI-ancurl.claw.id+ACI-	0
+ACI-ancurl.url.http+ACI-	0
+ACI-ancurl.microsoft.com+ACI-	0
+ACI-ancurl.excite.com+ACI-	0
+ACI-ancurl.gort.ucsd.edu+ACI-	0
+ACI-ancurl.com.home+ACI-	0
+ACI-ancurl.2fcgi+ACI-	0
+ACI-ancurl.pub+ACI-	0
+ACI-ancurl.bin.adcount+ACI-	0
+ACI-ancurl.mc.3a+ACI-	0
+ACI-ancurl.phoenix.mcet.edu+ACI-	0
+ACI-ancurl.plx+ACI-	0
+ACI-ancurl.inwap.com+ACI-	0
+ACI-ancurl.www.cob.sjsu.edu+ACI-	0
+ACI-ancurl.www.thejeep.com+ACI-	0
+ACI-ancurl.tour+ACI-	0
+ACI-ancurl.www.sanjosesabercats.com+ACI-	0
+ACI-ancurl.mei.co.jp+ACI-	0
+ACI-ancurl.geoguide.sendform+ACI-	0
+ACI-ancurl.services+ACI-	0
+ACI-ancurl.type.click+ACI-	0
+ACI-ancurl.tagvalues+ACI-	0
+ACI-ancurl.profileid+ACI-	0
+ACI-ancurl.zueri.ch+ACI-	0
+ACI-ancurl.arvann+ACI-	0
+ACI-ancurl.tagvalues.13+ACI-	0
+ACI-alt.your+ACI-	0
+ACI-alt.and+ACI-	0
+ACI-alt.top+ACI-	0
+ACI-alt.all+ACI-	0
+ACI-alt.email+ACI-	0
+ACI-alt.out+ACI-	0
+ACI-alt.our+ACI-	0
+ACI-alt.here+ACI-	0
+ACI-alt.the+ACI-	0
+ACI-alt.download+ACI-	0
+ACI-alt.netscape+ACI-	0
+ACI-alt.what+ACI-	0
+ACI-alt.explorer+ACI-	0
+ACI-alt.more+ACI-	0
+ACI-alt.for.a+ACI-	0
+ACI-alt.take.a+ACI-	0
+ACI-alt.kitty+ACI-	0
+ACI-alt.link+ACI-	0
+ACI-alt.wacky+ACI-	0
+ACI-alt.like+ACI-	0
+ACI-alt.heartland+ACI-	0
+ACI-alt.visit.the+ACI-	0
+ACI-alt.romance+ACI-	0
+ACI-alt.online+ACI-	0
+ACI-alt.products+ACI-	0
+ACI-alt.now+ACI-	0
+ACI-alt.click.here+ACI-	0
+ACI-alt.pages.like+ACI-	0
+ACI-alt.rank+ACI-	0
+ACI-alt.information+ACI-	0
+ACI-alt.us+ACI-	0
+ACI-alt.send.this+ACI-	0
+ACI-alt.up+ACI-	0
+ACI-alt.to+ACI-	0
+ACI-alt.chat+ACI-	0
+ACI-alt.new+ACI-	0
+ACI-alt.net+ACI-	0
+ACI-alt.my.site+ACI-	0
+ACI-alt.search+ACI-	0
+ACI-alt.this+ACI-	0
+ACI-alt.on+ACI-	0
+ACI-alt.of+ACI-	0
+ACI-alt.links+ACI-	0
+ACI-alt.bytes+ACI-	0
+ACI-alt.my+ACI-	0
+ACI-alt.me+ACI-	0
+ACI-alt.picture+ACI-	0
+ACI-alt.club+ACI-	0
+ACI-alt.pages+ACI-	0
+ACI-alt.this.page+ACI-	0
+ACI-alt.in+ACI-	0
+ACI-alt.on.the+ACI-	0
+ACI-alt.guestbook+ACI-	0
+ACI-alt.by+ACI-	0
+ACI-alt.at+ACI-	0
+ACI-alt.ad+ACI-	0
+ACI-alt.mine+ACI-	0
+ACI-alt.amazon.com+ACI-	0
+ACI-alt.web+ACI-	0
+ACI-alt.next+ACI-	0
+ACI-alt.news+ACI-	0
+ACI-alt.info+ACI-	0
+ACI-alt.join+ACI-	0
+ACI-alt.of.the+ACI-	0
+ACI-alt.book+ACI-	0
+ACI-alt.amazon+ACI-	0
+ACI-alt.forums+ACI-	0
+ACI-alt.back+ACI-	0
+ACI-alt.next.site+ACI-	0
+ACI-alt.a.tour+ACI-	0
+ACI-alt.com+ACI-	0
+ACI-alt.microsoft+ACI-	0
+ACI-alt.geocities+ACI-	0
+ACI-alt.ring+ACI-	0
+ACI-alt.cat+ACI-	0
+ACI-alt.send+ACI-	0
+ACI-alt.internet.explorer+ACI-	0
+ACI-alt.home.page+ACI-	0
+ACI-alt.internet+ACI-	0
+ACI-alt.find+ACI-	0
+ACI-alt.cool+ACI-	0
+ACI-alt.my.guestbook+ACI-	0
+ACI-alt.here.for+ACI-	0
+ACI-alt.with+ACI-	0
+ACI-alt.get+ACI-	0
+ACI-alt.take+ACI-	0
+ACI-alt.tour+ACI-	0
+ACI-alt.site+ACI-	0
+ACI-alt.to.visit+ACI-	0
+ACI-alt.rank.my+ACI-	0
+ACI-alt.from+ACI-	0
+ACI-alt.page+ACI-	0
+ACI-alt.graphic+ACI-	0
+ACI-alt.like.mine+ACI-	0
+ACI-alt.email.me+ACI-	0
+ACI-alt.visit+ACI-	0
+ACI-alt.free+ACI-	0
+ACI-alt.the.kat+ACI-	0
+ACI-alt.award+ACI-	0
+ACI-alt.services+ACI-	0
+ACI-alt.about+ACI-	0
+ACI-alt.here.to+ACI-	0
+ACI-alt.network+ACI-	0
+ACI-alt.you+ACI-	0
+ACI-alt.logo+ACI-	0
+ACI-alt.home+ACI-	0
+ACI-alt.kat+ACI-	0
+ACI-caption.and+ACI-	0
+ACI-caption.home.page+ACI-	0
+ACI-caption.click.here+ACI-	0
+ACI-caption.the+ACI-	0
+ACI-caption.pratchett+ACI-	0
+ACI-caption.here.for+ACI-	0
+ACI-caption.site+ACI-	0
+ACI-caption.page+ACI-	0
+ACI-caption.to+ACI-	0
+ACI-caption.of+ACI-	0
+ACI-caption.home+ACI-	0
+ACI-caption.my+ACI-	0
+ACI-caption.your+ACI-	0
+ACI-caption.in+ACI-	0
+ACI-caption.bytes+ACI-	0
+ACI-caption.here+ACI-	0
+ACI-caption.click+ACI-	0
+ACI-caption.for+ACI-	0
+ACI-caption.you+ACI-	0
+ACI-(Intercept)+ACI-	+AC0-3.15528043
